dep,date,reg,lib_dep,lib_reg,tx_pos,tx_incid,TO,R,hosp,rea,rad,dchosp,reg_rea,incid_hosp,incid_rea,incid_rad,incid_dchosp,reg_incid_rea,pos,pos_7j,cv_dose1
64,2020-03-18,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.029126213592233,,5,0,0,0,12,,,,,,,,
64,2020-03-19,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.029126213592233,,9,0,1,0,11,6,0,1,0,7,,,
64,2020-03-20,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.0364077669902913,,8,0,2,1,15,1,0,1,1,6,,,
64,2020-03-21,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.0776699029126214,,10,1,2,1,28,5,2,0,0,19,,,
64,2020-03-22,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.0995145631067961,,15,1,2,1,40,3,0,0,0,5,,,
64,2020-03-23,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.114077669902913,,19,1,5,1,47,7,0,3,0,13,,,
64,2020-03-24,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.16747572815534,,23,5,7,1,69,7,5,2,0,31,,,
64,2020-03-25,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.182038834951456,,32,7,8,3,75,13,3,1,2,23,,,
64,2020-03-26,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.233009708737864,,39,9,18,4,96,19,2,10,1,28,,,
64,2020-03-27,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.281553398058252,,48,11,21,5,116,16,3,3,1,27,,,
64,2020-03-28,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.308252427184466,,48,10,28,6,127,10,1,7,1,23,,,
64,2020-03-29,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.388349514563107,,52,13,32,6,160,9,4,4,0,35,,,
64,2020-03-30,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.441747572815534,,55,15,34,9,182,8,2,2,3,25,,,
64,2020-03-31,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.490291262135922,,72,26,37,10,202,17,8,3,1,32,,,
64,2020-04-01,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.521844660194175,,73,27,46,10,215,8,1,9,0,23,,,
64,2020-04-02,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.536407766990291,,74,29,62,12,221,19,4,16,2,19,,,
64,2020-04-03,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.546116504854369,,77,30,54,13,225,5,1,1,1,12,,,
64,2020-04-04,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.580097087378641,,80,29,65,13,239,14,1,11,0,11,,,
64,2020-04-05,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.589805825242718,,77,29,68,14,243,1,0,3,1,7,,,
64,2020-04-06,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.599514563106796,,85,27,69,15,247,10,0,1,1,11,,,
64,2020-04-07,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.589805825242718,,81,28,74,15,243,0,0,5,0,14,,,
64,2020-04-08,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.587378640776699,,88,28,79,14,242,13,2,5,1,18,,,
64,2020-04-09,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.58495145631068,,96,28,79,14,241,10,1,1,0,12,,,
64,2020-04-10,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.555825242718447,,97,28,86,16,229,10,1,9,2,13,,,
64,2020-04-11,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.640776699029126,,92,27,95,16,264,4,0,9,0,5,,,
64,2020-04-12,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.62378640776699,,93,26,96,18,257,4,0,1,2,4,,,
64,2020-04-13,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.628640776699029,,92,24,98,19,259,2,0,2,1,10,,,
64,2020-04-14,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.609223300970874,,92,23,98,20,251,1,0,1,1,5,,,
64,2020-04-15,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.572815533980583,,90,23,104,19,236,3,1,6,0,5,,,
64,2020-04-16,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.533980582524272,,86,21,112,18,220,4,0,8,0,2,,,
64,2020-04-17,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.492718446601942,,86,19,112,20,203,2,0,0,2,6,,,
64,2020-04-18,75,Pyrénées-Atlantiques,"Nouvelle Aquitaine",,,0.468446601941748,,79,13,124,20,193,5,0,12,0,5,,,
