date_reference;semaine_injection;Region_residence;Libelle_region;departement_residence;libelle_departement;population_insee;classe_age;libelle_classe_age;type_vaccin;effectif_1_inj;effectif_termine;effectif_cumu_1_inj;effectif_cumu_termine;taux_1_inj;taux_termine;taux_cumu_1_inj;taux_cumu_termine;date;Effectif_rappel;Effectif_cumu_rappel;Effectif_rappel_parmi_eligible;Effectif_eligible_au_rappel;TAUX_rappel;TAUX_CUMU_rappel;TAUX_CUMU_rappeleli
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;COMIRNATY Pfizer-BioNTech;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;SPIKEVAX Moderna;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;VAXZEVRIA AstraZeneca;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;JCOVDEN Janssen;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;COMIRNATY Pfizer-BioNTech pédiatrique;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;NUVAXOVID Novavax;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;COMIRNATY ORIGINAL/OMICRON BA.5 Pfizer-B;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;SPIKEVAX ORIGINAL/OMICRON BA.1 Moderna;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;Tout vaccin;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;COMIRNATY Pfizer-BioNTech;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;SPIKEVAX Moderna;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;VAXZEVRIA AstraZeneca;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;JCOVDEN Janssen;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;COMIRNATY Pfizer-BioNTech pédiatrique;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;NUVAXOVID Novavax;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;COMIRNATY ORIGINAL/OMICRON BA.5 Pfizer-B;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;SPIKEVAX ORIGINAL/OMICRON BA.1 Moderna;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;Tout vaccin;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;COMIRNATY Pfizer-BioNTech;;;;;;;;;2021-01-03;;;;;;;
2022-11-06;2020-52;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;SPIKEVAX Moderna;;;;;;;;;2021-01-03;;;;;;;
